"시도별","지출목적별",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
"전국","의류 세탁 · 수선 및 임차",109.24,107.10,104.93,102.99,101.12,100.00,98.433,97.260,96.284,94.428
"전국","의복수선료",110.07,108.30,105.44,103.39,101.09,100.00,98.191,96.108,94.594,92.782
"전국","세탁료",108.48,106.12,104.30,102.62,100.93,100.00,99.556,99.001,98.474,96.531
"전국","의복대여료",111.84,110.22,107.33,104.43,102.19,100.00,94.538,92.442,90.991,89.605
"전국","03.2 신발",108.54,106.95,105.77,103.52,102.82,100.00,98.918,96.197,97.135,92.331
"전국","신발",108.54,106.95,105.77,103.52,102.82,100.00,98.918,96.197,97.135,92.331
"전국","아동화",106.44,103.82,100.15,99.32,100.00,100.00,100.000,100.000,100.000,97.792
"전국","구두",116.38,113.13,111.29,105.79,104.44,100.00,99.089,96.022,96.041,91.607
"전국","운동화",103.25,103.25,103.25,103.24,102.55,100.00,98.387,95.041,97.367,91.012
"전국","실내화",101.18,101.19,100.95,100.49,100.74,100.00,99.439,99.225,98.598,96.830
"전국","04 주택 ·수도 · 전기 및 연료",103.28,102.75,101.58,100.87,99.19,100.00,100.645,97.841,94.498,90.343
"전국","04.1 주택임차료",104.27,104.04,104.15,103.51,101.86,100.00,97.518,95.282,92.812,89.056
"전국","주택임차료",104.27,104.04,104.15,103.51,101.86,100.00,97.518,95.282,92.812,89.056
"전국","전세",108.20,107.86,107.67,106.14,103.17,100.00,96.503,93.666,90.796,86.529
"전국","월세",99.93,99.81,100.23,100.51,100.37,100.00,99.708,98.763,97.155,94.536
"전국","04.3 주거시설 유지 · 보수",117.82,115.30,111.00,106.04,101.85,100.00,96.889,94.542,91.564,87.222
"전국","주거시설 유지 · 보수",117.82,115.30,111.00,106.04,101.85,100.00,96.889,94.542,91.564,87.222
"전국","주택수선재료",106.36,105.56,103.27,100.16,99.82,100.00,99.874,98.386,96.744,92.771
"전국","설비수리비",124.39,120.70,115.05,108.87,102.83,100.00,95.681,93.000,89.448,84.959
"전국","04.4 수도 및 주거관련 서비스",123.45,118.92,114.60,110.01,104.72,100.00,96.173,93.147,88.452,84.360
"전국","상하수도료",119.58,118.64,116.75,112.74,107.16,100.00,95.821,92.275,89.792,84.464
"전국","상수도료",105.07,105.46,105.56,104.23,102.70,100.00,98.029,97.236,96.070,93.060
"전국","하수도료",151.54,147.65,141.38,131.46,116.98,100.00,91.061,81.580,76.261,66.303
"전국","기타 주거관련 서비스",124.74,118.89,113.70,108.89,103.73,100.00,96.334,93.543,87.844,84.376
"전국","공동주택관리비",125.60,119.46,114.00,109.00,103.72,100.00,96.254,93.367,87.407,83.772
"전국","쓰레기봉투료",112.47,111.87,111.31,109.74,105.44,100.00,97.541,96.629,96.528,96.626
"전국","정화조청소료",110.10,107.20,104.98,102.42,101.36,100.00,98.592,97.805,96.092,93.260
"전국","04.5 전기 · 가스 및 기타연료",85.38,87.05,85.60,87.97,89.05,100.00,110.605,106.650,102.182,97.212
"전국","전기",87.41,87.41,87.20,89.83,95.88,100.00,101.708,99.476,95.878,93.958
"전국","전기료",87.41,87.41,87.20,89.83,95.88,100.00,101.708,99.476,95.878,93.958
"전국","가스",82.94,85.78,83.17,86.43,83.29,100.00,118.756,111.948,105.983,98.754
"전국","도시가스",81.81,84.75,81.87,85.55,82.68,100.00,118.818,111.662,105.167,97.707
"전국","취사용LPG",103.94,104.80,107.66,102.54,94.47,100.00,117.917,115.828,117.021,112.803
"전국","기타연료 및 에너지",87.31,91.64,89.52,86.38,84.01,100.00,114.701,115.839,114.219,106.382
"전국","등유",90.33,100.73,98.30,89.49,82.79,100.00,135.435,141.286,143.621,137.490
"전국","연탄",148.54,148.39,130.48,113.64,103.05,100.00,100.027,99.800,99.213,99.063
"전국","지역난방비",80.80,80.31,79.03,81.12,83.19,100.00,100.136,97.694,92.824,81.864
"전국","부탄가스",95.85,96.73,97.56,98.94,98.40,100.00,99.828,99.995,98.985,91.891
"전국","05 가정용품 및 가사 서비스",107.27,107.23,104.99,102.67,101.55,100.00,97.476,95.446,95.192,92.538
"전국","05.1 가구 · 가사비품 및 카페트",122.29,121.83,114.63,108.61,105.20,100.00,98.005,97.009,98.300,95.544
"전국","가구 · 가사비품 및 카페트",122.29,121.83,114.63,108.61,105.20,100.00,98.005,97.009,98.300,95.544
"전국","장롱",122.36,122.52,116.77,109.42,107.36,100.00,98.402,97.243,101.696,98.352
"전국","침대",127.22,127.22,115.06,107.87,103.98,100.00,99.589,98.768,98.768,96.266
"전국","거실장",116.04,114.08,110.34,105.18,103.05,100.00,98.723,93.992,94.869,92.187
"전국","소파",124.98,126.07,120.68,115.90,108.52,100.00,94.651,98.954,105.977,104.672
"전국","책상",122.02,119.89,117.22,107.78,103.36,100.00,95.100,92.136,94.101,92.582
"전국","의자",94.70,93.55,90.80,91.55,99.68,100.00,95.779,96.948,91.769,86.796
"전국","식탁",122.35,120.54,117.55,111.95,105.67,100.00,93.975,93.699,95.419,92.309
"전국","싱크대",119.11,115.98,109.23,105.46,103.96,100.00,99.764,96.928,94.086,90.602
"전국","05.2 가정용 섬유제품",107.63,104.58,102.93,101.98,101.02,100.00,100.408,101.347,100.965,98.557
"전국","가정용 섬유제품",107.63,104.58,102.93,101.98,101.02,100.00,100.408,101.347,100.965,98.557
"전국","침구",109.33,105.77,103.83,102.73,101.45,100.00,100.312,101.621,101.246,98.687
"전국","커튼",95.93,96.21,96.56,96.55,97.85,100.00,100.916,99.875,99.468,98.106
"전국","05.3 가정용 기기",100.88,102.48,101.91,101.48,101.61,100.00,96.548,92.966,92.093,91.913
"전국","가정용 기구",97.21,98.59,98.20,98.58,100.42,100.00,97.261,93.890,93.577,93.314
"전국","전기밥솥",86.23,93.82,105.53,96.08,101.47,100.00,100.831,109.191,108.001,109.149
"전국","가스레인지",90.12,91.51,96.48,94.73,106.17,100.00,104.377,97.667,93.452,93.624
"전국","전자레인지",104.75,105.29,103.64,102.75,103.97,100.00,99.630,101.045,102.863,101.536
"전국","전기레인지",96.96,75.79,77.80,73.35,82.85,100.00,-,-,-,-
"전국","냉장고",93.49,92.85,92.14,94.28,98.22,100.00,96.736,88.732,85.632,84.209
"전국","김치냉장고",89.86,92.61,90.80,92.36,96.05,100.00,95.614,88.398,92.048,95.526
"전국","에어컨",110.24,112.12,109.95,108.30,102.38,100.00,97.839,95.849,96.395,96.178
"전국","선풍기",91.67,89.50,85.70,90.04,100.83,100.00,96.344,94.968,93.705,86.063
"전국","공기청정기",105.57,102.04,106.21,108.08,106.22,100.00,104.603,113.003,109.605,107.025
"전국","세탁기",106.74,107.40,106.64,105.79,102.37,100.00,92.997,90.105,89.644,88.141
"전국","청소기",107.67,105.02,105.25,106.92,108.06,100.00,93.991,90.192,92.073,91.586
"전국","믹서",74.68,83.96,93.95,97.01,97.74,100.00,102.730,102.646,102.070,103.030
"전국","보온매트",106.85,108.88,102.98,101.65,101.63,100.00,95.537,94.644,94.644,94.597
"전국","비데",88.16,100.35,88.51,92.19,101.22,100.00,97.586,97.158,97.031,95.197
"전국","가정용 기구 수리서비스",111.38,113.78,112.48,108.65,104.55,100.00,94.963,90.902,88.778,88.778
"전국","가전제품수리비",131.28,125.77,123.32,115.06,108.12,100.00,94.282,86.696,86.696,86.696
"전국","가전제품렌탈비",94.85,103.51,103.13,102.85,101.31,100.00,95.599,94.862,90.736,90.736
"전국","05.4 주방용품 및 가정용품",103.36,102.36,102.12,100.78,100.66,100.00,95.232,93.354,92.410,87.889
"전국","주방용품 및 가정용품",103.36,102.36,102.12,100.78,100.66,100.00,95.232,93.354,92.410,87.889
"전국","식기",117.31,112.48,109.42,106.50,101.63,100.00,90.290,89.477,87.513,80.784
"전국","컵",89.86,91.38,92.63,94.91,99.21,100.00,91.175,90.247,90.526,85.973
"전국","솥",103.23,100.28,99.20,98.51,96.69,100.00,98.780,94.703,94.193,91.485
"전국","프라이팬",93.85,94.84,96.72,99.60,100.50,100.00,102.206,102.344,102.605,103.976
"전국","냄비",98.32,98.47,99.28,99.79,100.93,100.00,100.103,98.871,97.224,94.252
"전국","수저",104.03,102.87,101.23,100.37,100.83,100.00,99.171,97.261,95.906,93.713
"전국","밀폐용기",98.21,99.83,101.91,96.81,101.19,100.00,90.877,84.793,83.784,77.448
"전국","부엌용용구",108.58,106.73,104.99,102.47,100.03,100.00,99.132,98.952,99.321,94.559
"전국","05.5 가정 · 정원용 공구 및 장비",101.42,100.96,102.05,101.30,100.20,100.00,101.437,100.272,96.051,93.488
"전국","가정 · 정원용 공구 및 장비",101.42,100.96,102.05,101.30,100.20,100.00,101.437,100.272,96.051,93.488
"전국","보일러",103.74,101.08,100.60,100.17,99.91,100.00,100.271,100.359,100.235,97.702
"전국","건전지",113.92,110.96,108.50,107.55,103.81,100.00,97.676,97.185,96.531,95.111
"전국","디지털도어록",94.68,97.92,102.04,100.85,99.59,100.00,104.508,101.085,89.092,85.511
"전국","05.6 일상 생활용품 및 가사 서비스",107.98,107.03,104.22,100.54,99.19,100.00,97.566,95.776,96.384,91.801
